NPTREF,SMSREF,GMGRFE,GMGRFN,RSTNAM,MAINRD,SIDEST,NETTYP,GAZREF,NETWRF
9100LVHM,,387295,394195,LEVENSHULME,ALBERT ROAD,STOCKPORT ROAD,R,E0028951,EBR001
9100MARPLE,,396273,389354,MARPLE,BRABYNS BROW,ARKWRIGHT ROAD,R,E0029038,SGR107
9100MDWD,,394540,384802,MIDDLEWOOD,TRACK!,MIDDLEWOOD ROAD,R,N0076700,SGR133
9100MLDTHRD,,386214,392988,MAULDETH ROAD,MAULDETH ROAD,AUBREY ROAD,R,E0028653,EBR121
9100MLSHILL,,388736,406060,MILLS HILL,OLDHAM ROAD,OLD MILLS HILL,R,E0029070,NER088
9100MNCRDGT,,383427,397514,DEANSGATE,DEANSGATE,WHITWORTH ST W,R,E0057786,SBR047
9100MNCRIAP,,381955,385391,MANCHESTER AIRPORT RAIL STATION,TERMINAL ROAD N,OUTWOOD LANE,R,N0075057,SBR323
9100MNCROXR,,384018,397476,MANCHESTER OXFORD ROAD,OXFORD ROAD,WHITWORTH ST W,R,E0057786,SBR046
9100MNCRPIC,,384800,397839,MANCHESTER PICCADILLY,STATION APPROAC,LONDON ROAD,R,E0057786,EBR044
9100MNCRUFG,,380795,396199,MANCHESTER UNITED FOOTBALL GROUND,UNITED ROAD,WARWICK RD NTH,R,E0029170,SJR077
9100MNCRVIC,,383978,399051,MANCHESTER VICTORIA,CORPORATION ST,STATION APPROCH,R,E0057786,NBR045
9100MOSSLEY,,397357,402026,MOSSLEY,MANCHESTER ROAD,STAMFORD ROAD,R,E0029105,EHR057
9100MRSD,,376740,402240,MOORSIDE,MOORSIDE ROAD,MANCHESTER ROAD,R,E0029089,WFR007
9100MSGT,,373510,406690,MOSES GATE,BOLTON ROAD,EGERTON STREET,R,E0029094,WAR059
9100MSTN,,388759,402975,MOSTON,HOLLINWOOD AVE,BRADSHAWFOLD AV,R,E0029125,EBR127
9100NAVGTNR,,377267,388819,NAVIGATION ROAD,NAVIGATION ROAD,GROSVENOR ROAD,R,N0075095,SJR033
9100NWTH,,395652,395537,NEWTON FOR HYDE,SHEFFIELD ROAD,CASTLE STREET,R,N0075097,EHR081
9100ORRELL,,353088,403956,ORRELL,CHURCH STREET,STATION AVENUE,R,E0029177,WKR075
9100PBRT,,355695,403966,PEMBERTON,BILLINGE ROAD,ENFIELD STREET,R,E0029197,WKR073
9100PTRCRFT,,376417,398741,PATRICROFT,GREEN LANE,CROMWELL ROAD,R,E0029193,NFR042
9100RCHDALE,,389940,412640,ROCHDALE,STATION ROAD,MACLURE ROAD,R,E0057799,NER056
9100REDISHN,,389721,394763,REDDISH NORTH,GORTON ROAD,STATION ROAD,R,E0029156,SGR117
9100REDISHS,,389567,393265,REDDISH SOUTH,REDDISH ROAD,ROLAND ROAD,R,E0029245,SGR118
9100ROHL,,395010,388800,ROSE HILL,STOCKPORT ROAD,BRIDGE WAY,R,N0075134,SGR108
9100ROMILEY,,394160,390803,ROMILEY,STOCKPORT ROAD,CHURCH LANE,R,E0029261,SGR083
9100RYDRBRW,,388565,395577,RYDER BROW,LEVENSHULME RD,RYDERBROW ROAD,R,E0029286,EBR112
9100SBYD,,395895,398630,STALYBRIDGE,RASSBOTTOM  ST,STAMFORD DRIVE,R,E0029366,EHR080
9100SLFDCT,,381798,398897,SALFORD CRESCENT,UNIVERSITY ROAD,COCKCROFT ROAD,R,N0076110,NFR049
9100SLFDORD,,383139,398487,SALFORD CENTRAL,NEW BAILEY ST,GORE STREET,R,N0076110,NFR048
9100SMBG,,392568,415166,SMITHY BRIDGE,SMITHY BRIDGE R,BARKE STREET,R,E0029343,NER062
9100STKP,,389257,389868,STOCKPORT,STATION ROAD,RAILWAY ROAD,R,E0057819,SGR097
9100SWNT,,377745,402067,SWINTON,STATION ROAD,BOUNDARY ROAD,R,E0029410,WFR008
9100TRFDPK,,379399,395380,TRAFFORD PARK,MOSS ROAD,STATION ROAD,R,E0029470,SJR043
9100URMSTON,,376600,394670,URMSTON,STATION ROAD,FLIXTON ROAD,R,E0029481,SJR035
9100WALKDEN,,373830,402640,WALKDEN,WALKDEN ROAD,CHESNUT AVENUE,R,E0029484,WFR016
9100WIGANNW,,358130,405376,WIGAN NORTH WESTERN,WALLGATE,QUEEN STREET,R,E0057846,WKR013
9100WIGANWL,,358125,405540,WIGAN WALLGATE,WALLGATE,KING ST WEST,R,E0057846,WKR014
9100WMOR,,390682,387719,WOODSMOOR,MOORLAND ROAD,CEDAR ROAD,R,E0029584,SGR229
9100WOODLEY,,393931,392499,WOODLEY,HYDE ROAD,STATION ROAD,R,E0029581,SGR085
9100WSTHOTN,,365441,406713,WESTHOUGHTON,CHURCH STREET,SCOTT STREET,R,E0052668,WAR006
9400ZZMAABM,MANTPDWG,384485,401560,Abraham Moss,WOODLANDS ROAD,GREENSTEAD AVE,M,E0028704,NBR501
9400ZZMAAIR,MANTWJMJ,381968,385418,Manchester Airport,TERMINAL RD,,M,N0075057,SBR727
9400ZZMAALT,MANTMTMG,377000,387900,Altrincham,STAMFORD NEW RD,MOSS LANE,M,E0028261,SJR493
9400ZZMAAMO,MANTWDPT,392002,398548,Ashton Moss,LORD SHELDON WY,,M,E0028488,EHR661
9400ZZMAANC,MANTMTMP,381113,397545,Anchorage,ANCHORAGE QUAY,NONE,M,N0075140,NFR482
9400ZZMAAUD,MANTWDPG,391397,397949,Audenshaw,DROYLSDEN RD,,M,N0076715,EHR658
9400ZZMAAUL,MANTWDTM,393593,399295,Ashton-Under-Lyne,WELLINGTON RD,,M,E0028492,EHR667
9400ZZMAAWT,MANTWDTD,392817,399285,Ashton West,LORD SHELDON WY,,M,E0028488,EHR664
